"id.pop","Species","source","n.study.years","first.study.year","last.study.year","n.clutches","n.broods","protected.area","protected.nests","nest..boxes","slope","slope.SE"
1,"Accipiter cooperi ","Robert N. Rosenfield ",39,1980,2018,669,1,0,0,0,0.025,0.014
2,"Accipiter gentilis ","Jan Tøttrup Nielsen ",41,1977,2017,2006,1,0,0,0,-0.007,0.014
3,"Accipiter gentilis ","Jere Tolvanen ",29,1990,2018,413,1,0,0,0,-0.019,0.023
4,"Accipiter nisus ","Jan Tøttrup Nielsen ",19,1978,1997,649,1,0,0,0,0.08,0.036
5,"Acrocephalus scirpaceus ","Lucyna Halupka ",14,1980,2012,816,2,1,0,0,0.053,0.018
6,"Aegolius funereus ","Markéta Zárybnická ",19,2000,2018,323,1,0,0,1,-0.018,0.044
7,"Aegolius funereus ","Pierre-Alain Ravussin ",32,1987,2018,614,1,0,1,1,-0.003,0.02
8,"Aegolius funereus ","Erkki Korpimäki ",21,1977,1997,921,1,0,0,1,-0.062,0.035
9,"Aethia cristatella ","Pietrzak et al. (2017) ",29,1988,2017,1608,1,1,0,0,0.008,0.022
10,"Aethia cristatella ","Elena Yu. Golubova ",28,1987,2018,1576,1,1,0,0,-0.038,0.019
11,"Aethia psittacula ","Pietrzak et al. (2017) ",26,1991,2017,1223,1,1,0,0,-0.012,0.026
12,"Aethia psittacula ","Evans et al (2017) ",15,1976,2017,523,1,1,0,0,0.023,0.028
13,"Aethia psittacula ","Elena Yu. Golubova ",28,1987,2018,1265,1,1,0,0,-0.018,0.02
14,"Aethia pusilla ","Pietrzak et al. (2017) ",29,1988,2017,1366,1,1,0,0,0.046,0.02
15,"Aethia pygmaea ","Pietrzak et al. (2017) ",26,1991,2017,1599,1,1,0,0,0.036,0.025
16,"Alca torda ","Robert T. Barrett ",21,1981,2013,1117,1,1,0,0,-0.043,0.022
17,"Alectrurus risora ","Adrián S. Di Giacomo ",15,2004,2018,332,2,1,0,0,-0.057,0.062
18,"Anous tenuirostris ","Ramos & Monticelli (2007) ",15,1987,2002,1717,1,1,0,0,-0.081,0.054
19,"Apus apus ","Heikki Kolunen ",39,1979,2017,1092,1,0,0,1,0.015,0.014
20,"Branta leucopsis ","Jouke Prop ",14,1978,2018,2291,1,1,0,0,-0.047,0.013
21,"Bucephala clangula ","Hannu Pöysä ",23,1995,2017,643,1,0,0,1,-0.015,0.033
22,"Bucorvus cafer ","Kate F. Carstens ",15,2001,2015,158,1,1,0,1,-0.01,0.058
23,"Bulweria bulwerii ","Verónica C. Neves ",12,2002,2017,522,1,1,0,0,0.196,0.046
